name,type,start_time,duration,"error","data"
"ch1","data",2.5972385,0.000082,,0x0D
"ch1","data",2.5973255,0.000082,,0x0A
"ch1","data",2.597412,0.000082,,0x47
"ch1","data",2.597499,0.000082,,0x6C
"ch1","data",2.5975855,0.000082,,0x6F
"ch1","data",2.5976725,0.000082,,0x62
"ch1","data",2.597759,0.000082,,0x61
"ch1","data",2.597846,0.000082,,0x6C
"ch1","data",2.5979325,0.000082,,0x20
"ch1","data",2.5980195,0.000082,,0x63
"ch1","data",2.598106,0.000082,,0x6F
"ch1","data",2.598193,0.000082,,0x6E
"ch1","data",2.5982795,0.000082,,0x73
"ch1","data",2.5983665,0.000082,,0x74
"ch1","data",2.598453,0.000082,,0x72
"ch1","data",2.59854,0.000082,,0x75
"ch1","data",2.5986265,0.000082,,0x63
"ch1","data",2.5987135,0.000082,,0x74
"ch1","data",2.5988,0.000082,,0x6F
"ch1","data",2.598887,0.000082,,0x72
"ch1","data",2.5989735,0.000082,,0x73
"ch1","data",2.5990605,0.000082,,0x20
"ch1","data",2.599147,0.000082,,0x69
"ch1","data",2.599234,0.000082,,0x6E
"ch1","data",2.5993205,0.000082,,0x76
"ch1","data",2.5994075,0.000082,,0x6F
"ch1","data",2.599494,0.000082,,0x6B
"ch1","data",2.599581,0.000082,,0x65
"ch1","data",2.5996675,0.000082,,0x64
"ch1","data",2.5997545,0.000082,,0x0D
"ch1","data",2.599841,0.000082,,0x0A
"ch1","data",2.6005715,0.000082,,0x45
"ch1","data",2.6006585,0.000082,,0x5A
"ch1","data",2.600745,0.000082,,0x46
"ch1","data",2.600832,0.000082,,0x4C
"ch1","data",2.6009185,0.000082,,0x41
"ch1","data",2.6010055,0.000082,,0x47
"ch1","data",2.601092,0.000082,,0x3A
"ch1","data",2.601179,0.000082,,0x35
"ch1","data",2.6012655,0.000082,,0x64
"ch1","data",2.6013525,0.000082,,0x63
"ch1","data",2.601439,0.000082,,0x36
"ch1","data",2.601526,0.000082,,0x0D
"ch1","data",2.6016125,0.000082,,0x0A
"ch1","data",2.6016995,0.000082,,0x52
"ch1","data",2.601786,0.000082,,0x45
"ch1","data",2.601873,0.000082,,0x4C
"ch1","data",2.6019595,0.000082,,0x45
"ch1","data",2.6020465,0.000082,,0x41
"ch1","data",2.602133,0.000082,,0x53
"ch1","data",2.60222,0.000082,,0x45
"ch1","data",2.6023065,0.000082,,0x3A
